word,mean_supportive_with_word,mean_supportive_without_word,difference,p_value,word_count
talking,0.16916849179313145,0.23091062243113644,-0.06174213063800499,0.3349067854923846,19
people,0.18027588976456155,0.2421976109161454,-0.06192172115158384,0.35049830678299465,92
dad,0.1515151515151515,0.21359068050248808,-0.06207552898733659,0.7235784041849365,17
multiple,0.15539996235648407,0.21775170521807868,-0.06235174286159462,0.4622315749873749,7
beautiful,0.16029411764705884,0.22281052674517582,-0.06251640909811698,0.5446897356961555,7
girlfriend,0.15609584214235375,0.2187088614081338,-0.06261301926578006,0.5977675181169152,2
disgusting,0.15701754385964908,0.22083752628860842,-0.06381998242895934,0.6810042327113849,6
wouldn,0.15507956481676546,0.21913155596265718,-0.06405199114589172,0.19725097977631517,9
toxic,0.1547619047619047,0.22006888003368963,-0.06530697527178492,0.49378298898080925,4
14,0.15372048957853227,0.21942782096439403,-0.06570733138586177,0.471138264505791,3
social,0.16154761904761902,0.2275559176580783,-0.06600829861045929,0.32202929008161674,14
hours,0.15415078498242796,0.22078848607757556,-0.0666377010951476,0.14232522794512642,5
asking,0.15640278779664968,0.22349489024298871,-0.06709210244633904,0.2578847555571236,9
thanks,0.15437462863933452,0.2214831098983597,-0.06710848125902519,0.4500745565026051,6
unloved,0.15073529411764705,0.2188182603474135,-0.06808296622976645,0.13648859082862758,2
death,0.1515151515151515,0.21968486332797288,-0.06816971181282139,0.6989043378888868,7
anxiety,0.1513157894736842,0.2195786908977349,-0.0682629014240507,0.6114133982016099,8
place,0.15483337350345022,0.22310392369986407,-0.06827055019641384,0.2692296677777896,17
support,0.15395760493240904,0.22230372383571667,-0.06834611890330763,0.2687986167591932,14
meeting,0.15227103499627698,0.22088742028737304,-0.06861638529109607,0.5188970787245415,5
attention,0.14285714285714285,0.21156824473392227,-0.06871110187677942,0.7146183410730859,8
digital,0.15000000000000002,0.21883326634981448,-0.06883326634981446,0.36942008182422503,2
charged,0.15,0.21883326634981448,-0.06883326634981449,0.7262071019279247,2
earlier,0.15,0.21883326634981448,-0.06883326634981449,0.7262071019279247,2
boyfriend,0.15103641456582634,0.22104274537942645,-0.07000633081360011,0.26842087387501884,14
extra,0.14328063241106717,0.21382770223457437,-0.0705470698235072,0.45144652938628993,8
spent,0.14920634920634918,0.22104871953947447,-0.0718423703331253,0.40324922699423776,5
disgust,0.14747474747474745,0.21962098824595438,-0.07214624077120693,0.4416688899917277,3
reasons,0.14708994708994708,0.21963288928878333,-0.07254294219883625,0.477609354135216,3
met,0.14765906362545017,0.22054054411040142,-0.07288148048495124,0.4077320115837725,13
keeps,0.14880952380952378,0.22183832935558165,-0.07302880554605787,0.4238023933860674,6
address,0.1457981256721462,0.21891901888711765,-0.07312089321497145,0.4823603360994474,2
high,0.1440923622902421,0.21757148055916684,-0.07347911826892473,0.5402057791216769,6
mind,0.15152310924369744,0.22509522728463194,-0.0735721180409345,0.3425551281446555,17
stressed,0.14705882352941177,0.2211617472066817,-0.07410292367726992,0.48542398599186076,5
prize,0.14411764705882352,0.21895331436902218,-0.07483566731019867,0.38215485337904,2
entertaining,0.14411764705882352,0.21895331436902218,-0.07483566731019867,0.38215485337904,2
personal,0.14692982456140347,0.22179983455049557,-0.0748700099890921,0.5142347637320048,6
comes,0.1484848484848485,0.22343867936018702,-0.07495383087533852,0.5037079493613025,7
stuck,0.14490623835741193,0.21990561341065148,-0.07499937505323956,0.38364531505345745,9
deal,0.15138207181606816,0.22731852307219058,-0.07593645125612242,0.390701195826492,12
creepy,0.14285714285714285,0.21897903894456666,-0.07612189608742381,0.6881138144729728,2
15,0.14285714285714285,0.21897903894456666,-0.07612189608742381,0.6881138144729728,2
activity,0.14285714285714285,0.21897903894456666,-0.07612189608742381,0.6881138144729728,2
compliments,0.14285714285714285,0.21897903894456666,-0.07612189608742381,0.6881138144729728,2
butterflies,0.14285714285714285,0.21897903894456666,-0.07612189608742381,0.6881138144729728,2
market,0.14285714285714285,0.21897903894456666,-0.07612189608742381,0.6881138144729728,2
minutes,0.14285714285714285,0.21897903894456666,-0.07612189608742381,0.6881138144729728,2
kept,0.1490576933614908,0.2253380131310889,-0.07628031976959809,0.16257031299697927,13
wait,0.1441520467836257,0.22051095744945118,-0.07635891066582548,0.5057515394665625,4
wants,0.14550264550264547,0.22197033506014463,-0.07646768955749916,0.40800554828987656,6
phone,0.14997383568812137,0.22647128275522904,-0.07649744706710768,0.2498461074934035,11
decision,0.13963210702341133,0.2161484112189175,-0.07651630419550617,0.3515501946364091,4
took,0.13698142942328986,0.21351260702391134,-0.07653117760062148,0.19071986207553712,11
woman,0.14657801748186722,0.22317136407357094,-0.07659334659170372,0.38508993499472527,14
easily,0.14445897352075837,0.22129858141766345,-0.07683960789690508,0.40342096936952815,5
weird,0.1480179028132992,0.22542876334918818,-0.07741086053588897,0.42038204469531704,14
funny,0.1423034330011074,0.21978092580699482,-0.07747749280588742,0.5555554879989996,3
happened,0.14284883473524443,0.2205610531534058,-0.07771221841816137,0.17950514704184323,23
new,0.1462985194077631,0.22428928200748202,-0.07799076259971893,0.34900670704281206,13
trying,0.15266369263199442,0.2308076286376956,-0.07814393600570119,0.32867051258272495,24
food,0.13913043478260867,0.2174346181602973,-0.07830418337768863,0.3816861346153303,5
written,0.14285714285714285,0.22123655480997456,-0.07837941195283171,0.6802474793549197,5
country,0.14285714285714285,0.22138288829469585,-0.078525745437553,0.4798593253306759,5
sleep,0.14285714285714285,0.2216103658297458,-0.07875322297260295,0.4788782472831114,7
kicker,0.14027149321266963,0.21903180730465796,-0.07876031409198833,0.3368969679796547,2
moved,0.13230951295246782,0.21204667548364237,-0.07973716253117455,0.37139219442848115,14
chest,0.14616402116402116,0.22634844869326518,-0.08018442752924401,0.16887140836920594,11
admit,0.1426470588235294,0.2237492000868529,-0.08110214126332349,0.4421697337347852,7
important,0.13908695103483087,0.22072200310565102,-0.08163505207082014,0.37788461585058825,4
noticed,0.13488372093023254,0.21671491964820516,-0.08183119871797262,0.4082379505367236,4
flags,0.1371024734982332,0.21909648117638117,-0.08199400767814796,0.39476478726342124,2
intimate,0.1371024734982332,0.21909648117638117,-0.08199400767814796,0.39476478726342124,2
attend,0.13655462184873945,0.2191076618222892,-0.08255303997354974,0.47001494241371256,2
regret,0.13636363636363635,0.21911155948525046,-0.08274792312161411,0.6521209336457017,2
desired,0.13636363636363635,0.21911155948525046,-0.08274792312161411,0.6521209336457017,2
respected,0.13636363636363635,0.2191115594852505,-0.08274792312161414,0.6521209336457016,2
fate,0.13636363636363635,0.2191115594852505,-0.08274792312161414,0.6521209336457016,2
invisible,0.13636363636363635,0.2191115594852505,-0.08274792312161414,0.6521209336457016,2
explain,0.13636363636363635,0.21911155948525052,-0.08274792312161416,0.6521209336457015,2
blame,0.1369047619047619,0.22019192611343372,-0.08328716420867183,0.5477265865628917,9
goes,0.1360837438423645,0.21997328732736834,-0.08388954348500385,0.17134410769607827,3
today,0.13674771283466935,0.22087402055760608,-0.08412630772293672,0.11708875569181103,13
locked,0.13448275862068965,0.21914994474531063,-0.08466718612462099,0.39886057742025066,2
flirted,0.13448275862068965,0.21914994474531063,-0.08466718612462099,0.39886057742025066,2
type,0.14028415904208064,0.22569207596725277,-0.08540791692517213,0.2671008180891332,9
stranger,0.13846153846153847,0.22397183414866093,-0.08551029568712246,0.441269530201381,7
guy,0.1366677984325043,0.2222199441829129,-0.08555214575040862,0.13840187820436786,28
opened,0.13409961685823754,0.22003465207945472,-0.08593503522121718,0.49003847202056017,3
recently,0.1437300678750747,0.23012527916989564,-0.08639521129482094,0.11887671142665261,14
girl,0.13851187117956723,0.2249093619077122,-0.08639749072814498,0.24924808188548264,18
kicked,0.13333333333333333,0.22005835156991566,-0.08672501823658232,0.5846895166224475,3
spending,0.13333333333333333,0.22005835156991566,-0.08672501823658232,0.5846895166224475,3
literally,0.13770053475935828,0.22454804321638913,-0.08684750845703085,0.30847683681883664,12
profile,0.13333333333333333,0.22099932068000694,-0.08766598734667361,0.3709377435189641,6
going,0.1265476897829839,0.21447008633385645,-0.08792239655087256,0.1842413737490822,46
date,0.13425925925925927,0.2228582670154898,-0.08859900775623053,0.26896982424908583,12
drivers,0.12820512820512817,0.21730254914235872,-0.08909742093723055,0.318935646498351,5
